300.0	-80.0	180.0	367.5	23.5
380.0	-80.0	180.0	264.2	58.6
459.9	-79.9	180.0	150.3	96.6
460.1	0.0	180.0	285.2	138.4
460.0	80.0	180.0	434.0	183.0
380.0	80.0	180.0	540.5	136.0
314.7	93.7	180.0	645.2	107.6
300.0	0.0	180.0	498.0	56.5
300.0	0.0	100.0	489.2	211.6
300.0	-80.0	100.0	361.8	173.4
380.0	-80.0	100.0	260.8	215.3
459.9	-79.9	100.0	149.3	259.4
460.1	0.0	100.0	280.7	306.3
460.0	80.0	100.0	425.0	358.0
380.0	80.0	100.0	530.5	302.0
314.8	93.7	100.0	633.0	269.0
314.7	93.7	20.0	621.0	423.0
300.0	-80.0	20.0	356.5	317.7
300.0	-80.0	20.0	356.6	317.8
380.0	-80.0	20.0	257.2	364.6
459.9	-79.9	20.0	148.5	414.5
460.0	0.0	20.0	277.0	466.0
460.0	80.0	20.0	417.0	521.0
380.0	80.0	20.0	520.0	461.0
380.0	0.0	20.0	383.5	411.0
380.0	0.0	70.0	388.0	315.3
380.0	0.0	120.0	392.0	217.3
380.0	0.0	180.0	397.0	95.3
